Step,Action_Index,Indoor_Temp,Indoor_RH,Indoor_CO2,Outdoor_Temp,Outdoor_RH,Hour,AC_Status,Fan_Status,Next_Indoor_Temp,Next_Indoor_RH,Next_Indoor_CO2,Reward
0,9,25.0,60.0,600.0,16.0,82.0,0.0,0.0,0.0,25.74367,60.23437,622.43713,-52.2
1,13,25.74367,60.23437,622.43713,16.0,82.0,1.0,1.0,0.0,23.132181,60.587627,513.0388,-56.115
2,12,23.132181,60.587627,513.0388,16.0,82.0,2.0,1.0,1.0,23.08587,60.703785,463.21597,-3.915
3,9,23.08587,60.703785,463.21597,16.0,82.0,3.0,0.0,1.0,24.66686,60.76811,485.29614,-52.2
4,4,24.66686,60.76811,485.29614,16.0,77.0,4.0,1.0,0.0,23.906284,60.169807,507.94806,-52.2
5,20,23.906284,60.169807,507.94806,15.0,88.0,5.0,1.0,0.0,24.53625,56.458786,459.19147,-56.115
6,12,24.53625,56.458786,459.19147,16.0,82.0,6.0,1.0,1.0,24.507969,56.629475,436.54004,-3.915
7,1,24.507969,56.629475,436.54004,16.0,82.0,7.0,0.0,1.0,21.591791,57.880302,465.6123,-52.449951171875
8,4,21.591791,57.880302,465.6123,17.0,77.0,8.0,1.0,0.0,21.749228,58.21279,516.6404,-52.29433059692383
9,14,21.749228,58.21279,516.6404,17.0,77.0,9.0,1.0,0.0,22.091545,57.889816,477.75125,-56.115
10,2,22.091545,57.889816,477.75125,18.0,73.0,10.0,1.0,1.0,22.12994,57.60542,538.63654,-52.2
11,2,22.12994,57.60542,538.63654,18.0,68.0,11.0,1.0,0.0,22.220821,57.517544,599.99097,-52.2
12,20,22.220821,57.517544,599.99097,19.0,68.0,12.0,1.0,0.0,24.163422,51.839138,513.07776,-56.115
13,11,24.163422,51.839138,513.07776,19.0,68.0,13.0,1.0,1.0,25.09123,50.94209,564.9885,-52.2
14,17,25.09123,50.94209,564.9885,19.0,73.0,14.0,1.0,0.0,24.866095,49.946014,496.15305,-56.115
15,17,24.866095,49.946014,496.15305,19.0,73.0,15.0,1.0,1.0,24.720648,49.712032,466.6287,-56.115
16,15,24.720648,49.712032,466.6287,19.0,73.0,16.0,1.0,1.0,24.215462,45.576645,453.33008,-56.115
17,13,24.215462,45.576645,453.33008,18.0,77.0,17.0,1.0,1.0,22.641253,47.145813,449.5697,-56.115
18,21,22.641253,47.145813,449.5697,18.0,77.0,18.0,1.0,1.0,23.874895,50.44866,433.418,-56.115
19,16,23.874895,50.44866,433.418,18.0,77.0,19.0,1.0,1.0,23.430437,51.74699,426.15445,-56.115
20,22,23.430437,51.74699,426.15445,18.0,77.0,20.0,1.0,1.0,24.003513,53.509552,423.7448,-56.115
21,0,24.003513,53.509552,423.7448,17.0,82.0,21.0,1.0,1.0,23.96269,54.79274,451.48953,0.0
22,18,23.96269,54.79274,451.48953,17.0,88.0,22.0,0.0,0.0,24.430124,56.51993,434.04605,-56.115
23,4,24.430124,56.51993,434.04605,18.0,77.0,23.0,1.0,1.0,23.835592,55.27174,458.13245,-52.2
24,10,23.835592,55.27174,458.13245,17.0,82.0,0.0,1.0,0.0,24.118113,53.66511,479.97943,-52.2
25,11,24.118113,53.66511,479.97943,17.0,88.0,1.0,1.0,0.0,24.446129,52.48438,502.34424,-52.2
26,10,24.446129,52.48438,502.34424,17.0,88.0,2.0,1.0,0.0,24.638939,52.610455,524.99615,-52.2
27,20,24.638939,52.610455,524.99615,17.0,88.0,3.0,1.0,0.0,25.14437,52.21217,466.62302,-56.115
28,21,25.14437,52.21217,466.62302,17.0,88.0,4.0,1.0,1.0,25.056803,52.49712,440.1601,-56.115
29,19,25.056803,52.49712,440.1601,17.0,88.0,5.0,1.0,1.0,25.40806,53.22482,430.2673,-56.115
30,17,25.40806,53.22482,430.2673,17.0,88.0,6.0,1.0,1.0,25.110245,53.561954,425.27283,-56.115
31,13,25.110245,53.561954,425.27283,17.0,88.0,7.0,1.0,1.0,22.776976,52.531055,425.23874,-56.115
32,2,22.776976,52.531055,425.23874,18.0,83.0,8.0,1.0,1.0,22.717186,52.473087,483.6157,-52.2
33,1,22.717186,52.473087,483.6157,18.0,77.0,9.0,1.0,0.0,22.91527,52.54404,537.4619,-52.2
34,2,22.91527,52.54404,537.4619,19.0,78.0,10.0,1.0,0.0,23.107588,51.872402,595.7864,-52.2
35,0,23.107588,51.872402,595.7864,20.0,73.0,11.0,1.0,0.0,23.297516,52.334366,647.07935,0.0
36,0,23.297516,52.334366,647.07935,21.0,69.0,12.0,0.0,0.0,23.474302,52.919086,695.4909,0.0
37,17,23.474302,52.919086,695.4909,22.0,64.0,13.0,0.0,0.0,22.884155,51.463882,553.87067,-56.115
38,14,22.884155,51.463882,553.87067,22.0,64.0,14.0,1.0,1.0,23.09198,50.483097,492.8612,-56.115
39,3,23.09198,50.483097,492.8612,23.0,61.0,15.0,1.0,1.0,22.682972,49.7809,545.74915,-52.2
40,18,22.682972,49.7809,545.74915,22.0,69.0,16.0,1.0,0.0,23.789267,49.238827,489.93463,-56.115
41,18,23.789267,49.238827,489.93463,21.0,73.0,17.0,1.0,1.0,24.21782,50.03823,463.83044,-56.115
42,13,24.21782,50.03823,463.83044,21.0,73.0,18.0,1.0,1.0,22.675325,51.212307,439.4691,-56.115
43,14,22.675325,51.212307,439.4691,21.0,73.0,19.0,1.0,1.0,22.350985,52.345284,429.40414,-56.115
44,22,22.350985,52.345284,429.40414,20.0,83.0,20.0,1.0,1.0,23.514446,55.540802,424.8728,-56.115
45,21,23.514446,55.540802,424.8728,20.0,78.0,21.0,1.0,1.0,24.08853,55.869286,423.01953,-56.115
46,12,24.08853,55.869286,423.01953,19.0,83.0,22.0,1.0,1.0,24.057476,56.397137,422.8439,-3.915
47,14,24.057476,56.397137,422.8439,19.0,88.0,23.0,0.0,1.0,21.95552,56.79335,418.84854,-56.11796951293945
48,15,21.95552,56.79335,418.84854,19.0,88.0,0.0,1.0,1.0,21.695374,57.902267,415.42752,-56.25419616699219
